,date,^spx_zamkniecie,aapl.us_zamkniecie,mcd.us_zamkniecie,msft.us_zamkniecie
225,2000-11-21,1347.35,0.286147,24.2707,23.877
226,2000-11-22,1322.36,0.281561,24.4871,24.0617
227,2000-11-24,1341.77,0.293893,24.0887,24.6573
228,2000-11-27,1348.97,0.284632,22.8387,24.9155
229,2000-11-28,1336.09,0.274543,22.343,23.6188
230,2000-11-29,1341.93,0.267315,23.238,22.9379
231,2000-11-30,1314.95,0.251193,22.7964,20.2237
232,2000-12-01,1315.23,0.259698,22.1226,19.9546
233,2000-12-04,1324.97,0.254214,22.4797,19.894
234,2000-12-05,1376.54,0.258801,21.8089,21.1042
235,2000-12-06,1351.46,0.217985,21.1794,19.9774
236,2000-12-07,1343.55,0.217985,21.6329,18.7245
237,2000-12-08,1369.89,0.229261,21.0919,19.1872
238,2000-12-11,1380.2,0.231095,21.4056,20.4698
239,2000-12-12,1371.18,0.234136,22.0823,20.577
240,2000-12-13,1359.99,0.228313,22.2525,20.1809
241,2000-12-14,1340.93,0.219839,22.5662,19.5674
242,2000-12-15,1312.15,0.214067,22.5249,17.3436
243,2000-12-18,1322.74,0.216709,23.1032,16.8522
244,2000-12-19,1305.6,0.213159,23.5124,15.7939
245,2000-12-20,1264.74,0.218912,22.4394,14.6325
246,2000-12-21,1274.86,0.214067,23.3766,15.3124
247,2000-12-22,1305.95,0.228313,23.3766,16.3678
248,2000-12-26,1315.19,0.223418,23.238,16.5255
249,2000-12-27,1328.92,0.225582,23.6835,16.3678
250,2000-12-28,1334.22,0.225582,24.2254,15.7055
251,2000-12-29,1320.28,0.226439,24.3081,15.2866
252,2001-01-02,1283.27,0.226439,23.953,15.2866
253,2001-01-03,1347.56,0.249269,24.0887,16.9018
254,2001-01-04,1333.34,0.259698,23.597,17.0736
255,2001-01-05,1298.35,0.249269,23.5528,17.3168
256,2001-01-08,1295.86,0.252091,23.597,17.2463
257,2001-01-09,1300.8,0.261832,23.6373,18.2629
258,2001-01-10,1313.27,0.252091,23.7317,18.6372
259,2001-01-11,1326.82,0.274024,23.3766,19.3857
260,2001-01-12,1318.55,0.261832,24.0396,18.8567
261,2001-01-16,1326.65,0.260555,24.3956,18.528
262,2001-01-17,1329.47,0.25571,24.8048,18.662
263,2001-01-18,1347.97,0.284632,24.0396,19.5674
264,2001-01-19,1342.54,0.296755,23.4583,21.5073
265,2001-01-22,1342.9,0.292936,23.953,21.1936
266,2001-01-23,1360.4,0.312068,23.5124,21.3494
267,2001-01-24,1364.3,0.312068,22.0272,22.1834
268,2001-01-25,1357.51,0.303544,21.1371,21.7912
269,2001-01-26,1354.95,0.297752,20.7359,22.5566
270,2001-01-29,1364.17,0.330352,21.0919,22.7383
271,2001-01-30,1373.73,0.33119,21.0505,22.3382
272,2001-01-31,1366.01,0.329066,21.0084,21.5231
273,2001-02-01,1373.47,0.32151,20.7359,21.9837
274,2001-02-02,1349.47,0.313812,21.0505,21.4368
275,2001-02-05,1354.31,0.307452,21.0084,21.8389
276,2001-02-06,1352.26,0.32151,21.4519,22.0533
277,2001-02-07,1340.89,0.316006,20.9149,22.8048
278,2001-02-08,1332.53,0.316006,20.9543,21.9461
